,Movie_title,user_rating,Genres,Cast
0,Spider-Man: Across the Spider-Verse,85,"Animation,Action,Adventure,Science Fiction","Shameik Moore,Hailee Steinfeld,Jason Schwartzman,Oscar Isaac,Brian Tyree Henry,Luna Lauren Velez,Jake Johnson,Issa Rae,Karan Soni,Shea Whigham,Greta Lee,Amandla Stenberg,Jharrel Jerome,Andy Samberg,Jack Quaid,Rachel Dratch,Ziggy Marley,Jorma Taccone,Daniel Kaluuya,Mahershala Ali,J.K. Simmons,Donald Glover,Elizabeth Perkins,Kathryn Hahn,Ayo Edebiri,Nicole Delaney,Antonina Lentini,Atsuko Okatsuka,Peter Sohn,Melissa Sturm,Lorraine Velez,Nic Novicki,Taran Killam,Metro Boomin,Josh Keaton,Sofia Barclay,Danielle Perez,Yuri Lowenthal,Rita Rani Ahuja,Ismail Bashey,Oscar Camacho,Freddy Ferrari,Kerry Gutierrez,Kamal Khan,Angelo Sekou Kouyate,Andrew Leviton,David Michie,Sumit Naig,Juan Pacheco,Chrystee Pharris,Ben Pronsky,Al Rodrigo,Stan Sellers,Warren Sroka,Jasper Johannes Andrews,Gredel Berrios Calladine,Natalia Castellanos,Russell Tyre Francis,Deepti Gupta,Sohm Kapila,Pradnya Kuwadekar,Ashley London,Christopher Miller,Andrea Navedo,Lakshmi Patel,Jacqueline Pinol,Eliyas Qureshi,Lashana Rodriguez,Jaswant Dev Shrestha,Libby Thomas Dickey,Jason Linere-White,Sitara Attaie,Mayuri Bhandari,June Christopher,Michelle Jubilee Gonzalez,Marabina Jaimes,Rez Kempton,Lex Lang,Phil Lord,Richard Miro,Doug Nicholas,Shakira Ja'nai Paye,James Pirri,Marley Ralph,Michelle Ruff,Dennis Singletary,Amanda Troop,Ruth Zalduondo,Kimberly Bailey,Sanjay Chandani,Melanie Duke,Jorge R. Gutierrez,Miguel Jiron,Deepti Kingra-Mickelsen,Luisa Leschin,Caitlin McKenna,Andrew Morgado,Arthur Ortiz,Eliana A. Perez,Juan Pope,Mike Rianda,Erika Scopelli,Narender Sood,Cedric L. Williams,Kimiko Glenn,Peggy Lu,Andrew Garfield,Denis Leary,Tobey Maguire,Cliff Robertson,Alfred Molina,Post Malone"
1,Transformers: Rise of the Beasts,75,"Action,Adventure,Science Fiction","Anthony Ramos,Dominique Fishback,Peter Cullen,Ron Perlman,Peter Dinklage,Michelle Yeoh,Pete Davidson,Liza Koshy,Cristo Fernández,Luna Lauren Velez,Dean Scott Vazquez,Tobe Nwigwe,Sarah Stiles,Leni Parker,Frank Marrs,Aidan Devine,Kerwin Jackson,Mike Chute,Tyler Hall,Sean Tucker,Jay Farrar,Lucas Huarancca,Amiel Cayo,Santusa Cutipa,Yesenia Inquillay,Sumac T'Ika,Josue Sallo,Mellissa Alvarez,Gloria Cusi,Michael Kelly,Jason D. Avalos,Lesley Stahl,John DiMaggio,David Sobolov,Michaela Jaé Rodriguez,Colman Domingo,Tongayi Chirisa,Luke Jones"
2,The Flash,70,"Action,Adventure,Science Fiction","Ezra Miller,Sasha Calle,Michael Keaton,Michael Shannon,Ron Livingston,Maribel Verdú,Kiersey Clemons,Antje Traue,Saoirse-Monica Jackson,Rudy Mancuso,Ed Wade,Jeremy Irons,Temuera Morrison,Sanjeev Bhaskar,Sean Rogers,Kieran Hodgson,Luke Brandon Field,Ian Loh,Karl Collins,Nikolaj Coster-Waldau,Poppy Shepherd,Nina Barker-Francis,Ava Hamada,Maurice Chung,Florence Wright,Bastian Antonio Fuentes,Andoni Gracia,Alex Hank,Miki Muschietti,Rebecca Hiller,Rob Hunt,Jonny Stockwell,Michael Byrch,Bret Jones,Sue Maund,Alex Batareanu,Andrei Nova,Gabriel Constantin,Oleg Mirochnikov,Katia Elizarova,Denis Khoroshko,Zsuzsa Magyar,Michael Lerman,Rosie Ede,Andy Muschietti,Ellie Rawnsley,Greg Lockett,Chelsea Leigh Macleod,Leslie Soo,Freya Evans,Sue Moore,Lynn Farleigh,Martin Pemberton,Sarah Lawn,David Calvitto,Ben Affleck,Gal Gadot,Nicolas Cage,George Clooney,Jason Momoa"
3,Barbie,75,"Comedy,Adventure,Fantasy","Margot Robbie,Ryan Gosling,America Ferrera,Kate McKinnon,Ariana Greenblatt,Michael Cera,Will Ferrell,Issa Rae,Alexandra Shipp,Emma Mackey,Hari Nef,Helen Mirren,Rhea Perlman,Simu Liu,Kingsley Ben-Adir,Ncuti Gatwa,Connor Swindells,Emerald Fennell,Sharon Rooney,Ritu Arya,Ana Kayne,Nicola Coughlan,Dua Lipa,John Cena,Scott Evans,Jamie Demetriou,Andrew Leung,Will Merrick,Zheng Xi Yong,Asim Chaudhry,Ray Fearon,Erica Ford,Hannah Khalique-Brown,Mette Towley,Marisa Abela,Lucy Boynton,Rob Brydon,Tom Stourton,Chris Taylor,David Mumeni,Olivia Brody,Isla Ashworth,Eire Farrell,Daisy Duczmal,Genvieve Toussaint,Isabella Nightingale,Manuela Mora,Aida Sexton,Millie-Rose Crossley,Anvita Nehru,Kayla-Mai Alvares,Luke Mullen,Patrick Luwis,Mac Brandt,Paul Jurewicz,Oraldo Austin,Benjamin Arthur,Carlos Jacott,Adam Ray,George Basil,Ptolemy Slocum,Deb Hiett,James Leon,Oliver Vaquer,Tony Noto,Christopher T. Wood,Ann Roth,Annie Mumolo,Elise Gallup,McKenna Roberts,Brylee Hsu,Sasha Milstein,Lauren Holt,Sterling Jones,Ryan Piers Williams,Jamaal Lewis,Kathryn Akin,Grace Jabbari,Ira Mandela Siobhan,Lisa Spencer,Naomi Weijand,Tom Clark,Ireanne Abenoja,Davide Albonetti,Charlotte Anderson,Michael Anderson,Rico Bakker,James Bamford,William John Banks,Callum Bell,Adam Blaug,Mason Boyce,Taylor Bradshaw,Alex Brown,Miekaile Browne,Lewis Calcutt,Nikkita Chadha,Oliver Chapman,Megan Charles,Callum Clack,Danny Coburn,Kat Collings,Adam Crossley,Sia Dauda,Gustave Die,Grace Durkin,Joelle Dyson,Lewis Easter,Onyemachi Ejimofor,Cameron Everitt,Luke Field-Wright,Sasha Flesch,Adam Fogarty,Mikey French,Anna-Kay Gayle,Charlie Goddard,Marlie Goddard,Ellis Harman,Yasmin Harrison,Josh Hawkins,James Healy,Tim Hodges,Mira Jebari,Beccy Jones,Thomas Kalek,Lily Laight,Maiya Leeke,Cristian Liberti,Prodromos Marneros,Nahum McLean,Jordan Melchor,Ramzan Miah,Andy Monaghan,Florivaldo Mossi,Hannah Nazareth,Grant Neal,Freja Nicole,Shaun Niles,Ella Nonini,Jack William Parry,Josie Pocock,Barnaby Quarendon,Redmand Rance,Zara Richards,Liam Riddick,Alana Rixon,Adam Paul Robertson,Kingdom Sibanda,Sebastian Skov,Aaron J. Smith,Joshua Smith,Lucia-Rose Sokolowski,Janine Somcio,Callum Sterling,Todd Talbot,Charles Tatman,Grant Thresh,Connor Tidman,Wahchi Vong,Jerry Wan,Sasha Wareham,Stan West,Oliver Wheeler,Josh Wild,Joe Wolstenholme,Richard Womersley,Ashley Young,Alex Sturman"
4,Insidious: The Red Door,69,"Horror,Mystery,Thriller","Ty Simpkins,Patrick Wilson,Sinclair Daniel,Rose Byrne,Lin Shaye,Hiam Abbass,Andrew Astor,Juliana Davies,Steve Coulter,Peter Dager,Joseph Bishara,Angus Sampson,Leigh Whannell,Justin Sturgis,David Call,Stephen Gray,Robin S. Walker,Bridget Kim,Logan Wilson,Kasjan Wilson,Mary Looram,Adrian Acosta,AJ Dyer,Kalin Wilson,E. Roger Mitchell,Dagmara Domińczyk,Tom Toland,Elaine Apruzzese,Suki Úna Rae,Desi Ramos,Victorya Danylko-Petrovskaya,Tom Fitzpatrick,Barbara Hershey"
5,Meg 2: The Trench,70,"Action,Science Fiction,Horror","Jason Statham,Wu Jing,Shuya Sophia Cai,Sergio Peris-Mencheta,Skyler Samuels,Cliff Curtis,Page Kennedy,Sienna Guillory,Melissanthi Mahut,Kiran Sonia Sawar,Felix Mayr,Whoopie van Raam,Guo Tao,Robin Hill,Dai Lele,Sui Fong Ivy Tsui,Stewart Alexander,Li Xin,Billy Clements,Ron Smoorenburg,Rui Shang,Sara Dee,Jonny James,Bai Narisu,Kenneth Won,Able Wanamakok"
6,The Flood,69,"Action,Horror,Thriller","Nicky Whelan,Casper Van Dien,Louis Mandylor,Devanny Pinn,Randy Wayne,Kim DeLonghi,Ryan Francis,Mike Ferguson,Eoin O'Brien,Randall J. Bacon,Beau Travis Williams,Alex Farnham,Kelly B. Jones,Jonathan Samson,Alexander Winters,John Garrett Mahlmeister,Luis Nava"
7,Hidden Strike,71,"Action,Adventure,Thriller,Comedy","Jackie Chan,John Cena,Ma Chunrui,蒋雯丽,Xu Jia,Gong Jun,Rima Zeidan,Neo Hou,Pilou Asbæk,Amadeus Serafini,Hani Adel,Tim Man,Max Huang,Lee Huang,Nadine Leon Gobet,Rachael Holoway,Li Ma,Tazito Garcia,Temur Mamisashvili,Michael Koltes,Diego Dati,Laila Ezz El Arab"
8,The Little Mermaid,65,"Adventure,Family,Fantasy,Romance","Halle Bailey,Jonah Hauer-King,Daveed Diggs,Awkwafina,Jacob Tremblay,Noma Dumezweni,Javier Bardem,Melissa McCarthy,Art Malik,Jessica Alexander,Emily Coates,Jude Akuwudike,Russell Balogh,Adrian Christopher,Simone Ashley,Martina Laird,John Dagleish,Sienna King,Karolina Conchet,Craig Stein,Lorena Andrea,Kajsa Mohammar,Nathalie Sorrell,Jodi Benson,Christopher Fairbank,Matthew Carver,Julz West,Shay Barclay,Arina Li,Leon Cooke,Tarik Frimpong,Chris George,Yasmin Harrison,Erica Stubbs,Kate Thompson,Jonathan Bishop,Aaron Bryan,Sophie Carmen-Jones,Jon-Scott Clark,Cameron Valentina,Austyn Farrell,Cecil Jee,Ben Hukin,Andrew Lyle-Pinnock,Chanel Mian,Ebony Molina,Ian Oswald,Oliver Ravelin,Charles Ruhrmund,Nicole Valverde,Craig Stein,Sasha Watson Lobo,Johnny White,Charlotte Wilmott,Bobby Windebank"
9,Soulcatcher,66,"Action,Adventure,Thriller","Halle Bailey,Jonah Hauer-King,Daveed Diggs,Awkwafina,Jacob Tremblay,Noma Dumezweni,Javier Bardem,Melissa McCarthy,Art Malik,Jessica Alexander,Emily Coates,Jude Akuwudike,Russell Balogh,Adrian Christopher,Simone Ashley,Martina Laird,John Dagleish,Sienna King,Karolina Conchet,Craig Stein,Lorena Andrea,Kajsa Mohammar,Nathalie Sorrell,Jodi Benson,Christopher Fairbank,Matthew Carver,Julz West,Shay Barclay,Arina Li,Leon Cooke,Tarik Frimpong,Chris George,Yasmin Harrison,Erica Stubbs,Kate Thompson,Jonathan Bishop,Aaron Bryan,Sophie Carmen-Jones,Jon-Scott Clark,Cameron Valentina,Austyn Farrell,Cecil Jee,Ben Hukin,Andrew Lyle-Pinnock,Chanel Mian,Ebony Molina,Ian Oswald,Oliver Ravelin,Charles Ruhrmund,Nicole Valverde,Craig Stein,Sasha Watson Lobo,Johnny White,Charlotte Wilmott,Bobby Windebank"
